n	ṅ
sankhārappatiṭṭhaṃ	saṅkhārappatiṭṭhaṃ
sankhārappadhānā	saṅkhārappadhānā
sankhārasankhayavimutto	saṅkhārasaṅkhayavimutto
sankhārasankhāyavimutto	saṅkhārasaṅkhāyavimutto
sankhārasamāpattipattabbaṃ	saṅkhārasamāpattipattabbaṃ
sankhārasamudayo	saṅkhārasamudayo
sankhārasamudayā	saṅkhārasamudayā
sankhārasamudayaṃ	saṅkhārasamudayaṃ
sankhārasamudaye	saṅkhārasamudaye
sankhārasutta	saṅkhārasutta
sankhārasokhummaṃ	saṅkhārasokhummaṃ
sankhārasokhummena	saṅkhārasokhummena
sankhāravantaṃ	saṅkhāravantaṃ
sankhāravipariṇāmaññathābhāvā	saṅkhāravipariṇāmaññathābhāvā
sankhāravipariṇāmānuparivattijā	saṅkhāravipariṇāmānuparivattijā
sankhāravipariṇāmānuparivatti	saṅkhāravipariṇāmānuparivatti
sankhārāniccataṃ	saṅkhārāniccataṃ
sankhārārammaṇaṃ	saṅkhārārammaṇaṃ
sankhārārāmassa	saṅkhārārāmassa
sankhārāvasesasamāpatti	saṅkhārāvasesasamāpatti
sankhārāvasesasamāpattipattabbaṃ	saṅkhārāvasesasamāpattipattabbaṃ
sankhārupapattiṃ	saṅkhārupapattiṃ
sankhārupapattisutta	saṅkhārupapattisutta
sankhārupapattisuttaṃ	saṅkhārupapattisuttaṃ
sankhārupayaṃ	saṅkhārupayaṃ
sankhārupādānakkhandho	saṅkhārupādānakkhandho
sankhārupādānakkhandhe	saṅkhārupādānakkhandhe
sankhārupādānakkhandhassa	saṅkhārupādānakkhandhassa
sankhārūpanisaṃ	saṅkhārūpanisaṃ
sankhārūpasamo	saṅkhārūpasamo
sankhārūpasamaṃ	saṅkhārūpasamaṃ
sankhārūpāyaṃ	saṅkhārūpāyaṃ
sankhitta	saṅkhitta
sankhitto	saṅkhitto
sankhittā	saṅkhittā
sankhittaṃ	saṅkhittaṃ
sankhitte	saṅkhitte
sankhittena	saṅkhittena
sankhittāya	saṅkhittāya
sankhittūposathasutta	saṅkhittūposathasutta
sankhiyadhammo	saṅkhiyadhammo
sankhiyadhammaṃ	saṅkhiyadhammaṃ
sankhepa	saṅkhepa
sankhepo	saṅkhepo
sankhepaṃ	saṅkhepaṃ
sankheyya	saṅkheyya
sankheyyaṃ	saṅkheyyaṃ
sankhyaṃ	saṅkhyaṃ
sankhya	saṅkhya
sanga	saṅga
sango	saṅgo
sangā	saṅgā
sangaṃ	saṅgaṃ
sangesu	saṅgesu
sangacchiṃ	saṅgacchiṃ
sangaṇikarato	saṅgaṇikarato
sangaṇikaratā	saṅgaṇikaratā
sangaṇikavihāro	saṅgaṇikavihāro
sangaṇikavihāraṃ	saṅgaṇikavihāraṃ
sangaṇikavihāre	saṅgaṇikavihāre
sangaṇikaṃ	saṅgaṇikaṃ
sangaṇikāya	saṅgaṇikāya
sangaṇika	saṅgaṇika
sangaṇike	saṅgaṇike
sangaṇikāpavaḍḍhano	saṅgaṇikāpavaḍḍhano
sangaṇikāratassa	saṅgaṇikāratassa
sangaṇikārāma	saṅgaṇikārāma
sangaṇikārāmo	saṅgaṇikārāmo
sangaṇikārāmā	saṅgaṇikārāmā
sangaṇikārāmassa	saṅgaṇikārāmassa
sangaṇikārāmatamanuyuttā	saṅgaṇikārāmatamanuyuttā
sangaṇikārāmatā	saṅgaṇikārāmatā
sangaṇikārāmataṃ	saṅgaṇikārāmataṃ
sangaṇikārāmasutta	saṅgaṇikārāmasutta
sangaṇhantī	saṅgaṇhantī
sangaṇhantānaṃ	saṅgaṇhantānaṃ
sangaṇha	saṅgaṇha
sangaṇhā	saṅgaṇhā
sangaṇhāti	saṅgaṇhāti
sangaṇhanti	saṅgaṇhanti
sangaṇhāsi	saṅgaṇhāsi
sangaṇhāmi	saṅgaṇhāmi
sangaṇheyyuṃ	saṅgaṇheyyuṃ
sangaṇhissanti	saṅgaṇhissanti
sangaṇhi	saṅgaṇhi
sangatā	saṅgatā
sangataṃ	saṅgataṃ
sangati	saṅgati
sangatī	saṅgatī
sangatibhāvahetu	saṅgatibhāvahetu
sangantvā	saṅgantvā
sangama	saṅgama
sangamo	saṅgamo
sangamituṃ	saṅgamituṃ
sangamūla	saṅgamūla
sangamūlaṃ	saṅgamūlaṃ
sangamma	saṅgamma
sangayhā	saṅgayhā
sangaro	saṅgaro
sangaraṃ	saṅgaraṃ
sangaha	saṅgaha
sangaho	saṅgaho
sangahā	saṅgahā
sangahaṃ	saṅgahaṃ
sangahe	saṅgahe
sangahena	saṅgahena
sangahassa	saṅgahassa
sangahāya	saṅgahāya
sangahānaṃ	saṅgahānaṃ
sangahabalaṃ	saṅgahabalaṃ
sangahasutta	saṅgahasutta
sangahavatthūni	saṅgahavatthūni
sangahavatthūhi	saṅgahavatthūhi
sangahavatthusutta	saṅgahavatthusutta
sangahita	saṅgahita
sangahito	saṅgahito
sangahitā	saṅgahitā
sangahitaṃ	saṅgahitaṃ
sangahitaparijano	saṅgahitaparijano
sangahitaparijanā	saṅgahitaparijanā
sangahitaparijjanā	saṅgahitaparijjanā
sangātigo	saṅgātigo
sangātigā	saṅgātigā
sangātigaṃ	saṅgātigaṃ
sangātigassa	saṅgātigassa
sangāma	saṅgāma
sangāmo	saṅgāmo
sangāmā	saṅgāmā
sangāmaṃ	saṅgāmaṃ
sangāme	saṅgāme
sangāmena	saṅgāmena
sangāmāya	saṅgāmāya
sangāmagato	saṅgāmagato
sangāmagataṃ	saṅgāmagataṃ
sangāmagatānaṃ	saṅgāmagatānaṃ
sangāmaji	saṅgāmaji
sangāmajiṃ	saṅgāmajiṃ
sangāmajissa	saṅgāmajissa
sangāmajisutta	saṅgāmajisutta
sangāmasīsa	saṅgāmasīsa
sangāmasīsaṃ	saṅgāmasīsaṃ
sangāmasīse	saṅgāmasīse
sangāmavijayo	saṅgāmavijayo
sangāmavijayena	saṅgāmavijayena
sangāmavijayasmiṃ	saṅgāmavijayasmiṃ
sangāmāvacaro	saṅgāmāvacaro
sangāmāvacarā	saṅgāmāvacarā
sangāmāvacarena	saṅgāmāvacarena
sangāmeti	saṅgāmeti
sangāmesi	saṅgāmesi
sangāmeyyāma	saṅgāmeyyāma
sangāmessati	saṅgāmessati
sangāmessanti	saṅgāmessanti
sangāmetuṃ	saṅgāmetuṃ
sangāmento	saṅgāmento
sangāmesuṃ	saṅgāmesuṃ
sangāyanti	saṅgāyanti
sangāyante	saṅgāyante
sangāyāma	saṅgāyāma
sangāyeyyāma	saṅgāyeyyāma
sangāyissanti	saṅgāyissanti
sangāyissāma	saṅgāyissāma
sangāyaṃ	saṅgāyaṃ
sangāyitabbaṃ	saṅgāyitabbaṃ
sangāyitabbadhamma	saṅgāyitabbadhamma
sangāyitvā	saṅgāyitvā
sangāravo	saṅgāravo
sangāravaṃ	saṅgāravaṃ
sangāravena	saṅgāravena
sangāravassa	saṅgāravassa
sangāravasutta	saṅgāravasutta
sangāravasuttaṃ	saṅgāravasuttaṃ
sangāha	saṅgāha
sangāhako	saṅgāhako
sangāhakā	saṅgāhakā
sangāhakaṃ	saṅgāhakaṃ
sangāhakassa	saṅgāhakassa
sangāhikaṃ	saṅgāhikaṃ
sangiyo	saṅgiyo
sangīta	saṅgīta
sangītā	saṅgītā
sangītāni	saṅgītāni
sangīte	saṅgīte
sangīto	saṅgīto
sangīti	saṅgīti
sangītiṃ	saṅgītiṃ
sangītiyā	saṅgītiyā
sangītipariyāyaṃ	saṅgītipariyāyaṃ
sangītisutta	saṅgītisutta
sangītisuttaṃ	saṅgītisuttaṃ
sangopeti	saṅgopeti
sangha	saṅgha
sangho	saṅgho
sanghā	saṅghā
sanghaṃ	saṅghaṃ
sanghe	saṅghe
sanghena	saṅghena
sanghebhi	saṅghebhi
sanghassa	saṅghassa
sanghānaṃ	saṅghānaṃ
sanghato	saṅghato
sanghamhā	saṅghamhā
sanghamhi	saṅghamhi
sanghasmiṃ	saṅghasmiṃ
sanghakammaṃ	saṅghakammaṃ
sanghakammāni	saṅghakammāni
sanghakaraṇīyāni	saṅghakaraṇīyāni
sanghakaraṇīyena	saṅghakaraṇīyena
sanghagata	saṅghagata
sanghagato	saṅghagato
sanghagatā	saṅghagatā
sanghagataṃ	saṅghagataṃ
sanghagatena	saṅghagatena
sanghagatāya	saṅghagatāya
sanghagarahino	saṅghagarahino
sanghagāravo	saṅghagāravo
sanghagāravatā	saṅghagāravatā
sanghaṭṭa	saṅghaṭṭa
sanghaṭṭā	saṅghaṭṭā
sanghaṭṭaṃ	saṅghaṭṭaṃ
sanghaṭṭanasamodhānā	saṅghaṭṭanasamodhānā
sanghaṭṭento	saṅghaṭṭento
sanghaṭṭentena	saṅghaṭṭentena
sanghatthero	saṅghatthero
sanghanavakā	saṅghanavakā
sanghanavakaṃ	saṅghanavakaṃ
sanghapariṇāyakā	saṅghapariṇāyakā
sanghapitaro	saṅghapitaro
sanghappaṭisaṃyuttaṃ	saṅghappaṭisaṃyuttaṃ
sanghaphāsutāya	saṅghaphāsutāya
sanghabhatta	saṅghabhatta
sanghabhattaṃ	saṅghabhattaṃ
sanghabhattā	saṅghabhattā
sanghabhatte	saṅghabhatte
sanghabheda	saṅghabheda
sanghabhedo	saṅghabhedo
sanghabhedaṃ	saṅghabhedaṃ
sanghabhede	saṅghabhede
sanghabhedena	saṅghabhedena
sanghabhedāya	saṅghabhedāya
sanghabhedaka	saṅghabhedaka
sanghabhedako	saṅghabhedako
sanghabhedakā	saṅghabhedakā
sanghabhedakaṃ	saṅghabhedakaṃ
sanghabhedakassa	saṅghabhedakassa
sanghabhedakasutta	saṅghabhedakasutta
sanghabhedasikkhāpada	saṅghabhedasikkhāpada
sanghabhedasikkhāpadaṃ	saṅghabhedasikkhāpadaṃ
sanghabhedasutta	saṅghabhedasutta
sanghamajjha	saṅghamajjha
sanghamajjhaṃ	saṅghamajjhaṃ
sanghamajjhe	saṅghamajjhe
sanghamajjhamhi	saṅghamajjhamhi
sangharakkhita	saṅgharakkhita
sangharakkhito	saṅgharakkhito
sangharakkhitā	saṅgharakkhitā
sangharakkhitaṃ	saṅgharakkhitaṃ
sangharakkhitattheragāthā	saṅgharakkhitattheragāthā
sangharāji	saṅgharāji
sangharājī	saṅgharājī
sangharāpeyya	saṅgharāpeyya
sangharāpetvā	saṅgharāpetvā
sangharitvā	saṅgharitvā
sanghasanghī	saṅghasaṅghī
sanghasaraṇagamanaṃ	saṅghasaraṇagamanaṃ
sanghasaraṇagamanahetu	saṅghasaraṇagamanahetu
sanghasāmaggīsutta	saṅghasāmaggīsutta
sanghasuṭṭhutāya	saṅghasuṭṭhutāya
sanghasobhana	saṅghasobhana
sanghasobhano	saṅghasobhano
sanghasobhanā	saṅghasobhanā
sanghassatthāya	saṅghassatthāya
sanghavandanāsutta	saṅghavandanāsutta
sanghavevacanāni	saṅghavevacanāni
sanghāṭaṃ	saṅghāṭaṃ
sanghāṭanikaṃ	saṅghāṭanikaṃ
sanghāṭi	saṅghāṭi
sanghāṭiyo	saṅghāṭiyo
sanghāṭī	saṅghāṭī
sanghāṭiṃ	saṅghāṭiṃ
sanghāṭiyā	saṅghāṭiyā
sanghāṭika	saṅghāṭika
sanghāṭiko	saṅghāṭiko
sanghāṭikaṃ	saṅghāṭikaṃ
sanghāṭikassa	saṅghāṭikassa
sanghāṭikaṇṇaggahaṇa	saṅghāṭikaṇṇaggahaṇa
sanghāṭikaṇṇaggahaṇaṃ	saṅghāṭikaṇṇaggahaṇaṃ
sanghāṭikaṇṇasutta	saṅghāṭikaṇṇasutta
sanghāṭikattaṃ	saṅghāṭikattaṃ
sanghāṭicāraṃ	saṅghāṭicāraṃ
sanghāṭicārasikkhāpada	saṅghāṭicārasikkhāpada
sanghāṭidhāraṇamattena	saṅghāṭidhāraṇamattena
sanghāṭipattacīvara	saṅghāṭipattacīvara
sanghāṭipattacīvaraṃ	saṅghāṭipattacīvaraṃ
sanghāṭipattacīvaradhāraṇaṃ	saṅghāṭipattacīvaradhāraṇaṃ
sanghāṭipattacīvaradhāraṇe	saṅghāṭipattacīvaradhāraṇe
sanghāṭipallatthikāya	saṅghāṭipallatthikāya
sanghāṭipāruto	saṅghāṭipāruto
sanghāṭipārutā	saṅghāṭipārutā
sanghāṭipārutaṃ	saṅghāṭipārutaṃ
sanghāṇi	saṅghāṇi
sanghāṇiṃ	saṅghāṇiṃ
sanghāṇisikkhāpada	saṅghāṇisikkhāpada
sanghāta	saṅghāta
sanghātaṃ	saṅghātaṃ
sanghāte	saṅghāte
sanghātaniyaṃ	saṅghātaniyaṃ
sanghātuṃ	saṅghātuṃ
sanghātherīgāthā	saṅghātherīgāthā
sanghādisesa	saṅghādisesa
sanghādiseso	saṅghādiseso
sanghādisesā	saṅghādisesā
sanghādisesaṃ	saṅghādisesaṃ
sanghādisesāni	saṅghādisesāni
sanghādisese	saṅghādisese
sanghādisesena	saṅghādisesena
sanghādisesassa	saṅghādisesassa
sanghādisesānaṃ	saṅghādisesānaṃ
sanghādisesesu	saṅghādisesesu
sanghādisesakaṇḍa	saṅghādisesakaṇḍa
sanghādisesakaṇḍaṃ	saṅghādisesakaṇḍaṃ
sanghādisesadiṭṭhi	saṅghādisesadiṭṭhi
sanghādisesadiṭṭhino	saṅghādisesadiṭṭhino
sanghādisesāpatti	saṅghādisesāpatti
sanghānussati	saṅghānussati
sanghānussatiṃ	saṅghānussatiṃ
sanghārāmo	saṅghārāmo
sanghārāmaṃ	saṅghārāmaṃ
sanghārāmassa	saṅghārāmassa
sanghārāmamhi	saṅghārāmamhi
sanghika	saṅghika
sanghiko	saṅghiko
sanghikā	saṅghikā
sanghikaṃ	saṅghikaṃ
sanghikāni	saṅghikāni
sanghike	saṅghike
sanghikena	saṅghikena
sanghikāya	saṅghikāya
sanghikacetapanasikkhāpada	saṅghikacetapanasikkhāpada
sanghikasaññī	saṅghikasaññī
sanghī	saṅghī
sanghino	saṅghino
sanghi	saṅghi
sanghiṃ	saṅghiṃ
sanghīnaṃ	saṅghīnaṃ
sanghuṭṭha	saṅghuṭṭha
sanghupaṭṭhāko	saṅghupaṭṭhāko
sanghupaṭṭhākā	saṅghupaṭṭhākā
sanghupaṭṭhākaṃ	saṅghupaṭṭhākaṃ
sanghupaṭṭhākānaṃ	saṅghupaṭṭhākānaṃ
sanghuposatha	saṅghuposatha
sanghuposathā	saṅghuposathā
sanghuposathaṃ	saṅghuposathaṃ
sanghūpasañhitā	saṅghūpasañhitā
saccavibhangasutta	saccavibhaṅgasutta
saccavibhangasuttaṃ	saccavibhaṅgasuttaṃ
saññāsankhayavimutto	saññāsaṅkhayavimutto
saññāviññāṇasankhayā	saññāviññāṇasaṅkhayā
satisambojjhango	satisambojjhaṅgo
satisambojjhangaṃ	satisambojjhaṅgaṃ
satisambojjhangassa	satisambojjhaṅgassa
satisambojjhangaṭṭhāniyānaṃ	satisambojjhaṅgaṭṭhāniyānaṃ
satisambojjhangaṭṭhānīyā	satisambojjhaṅgaṭṭhānīyā
sattangasamannāgato	sattaṅgasamannāgato
sattangasamannāgatassa	sattaṅgasamannāgatassa
sattabojjhangā	sattabojjhaṅgā
sattabojjhange	sattabojjhaṅge
sattamasanghādisesasikkhāpadaṃ	sattamasaṅghādisesasikkhāpadaṃ
sattāhakālankato	sattāhakālaṅkato
sanankumāro	sanaṅkumāro
sanankumāraṃ	sanaṅkumāraṃ
sanankumārena	sanaṅkumārena
sanankumārassa	sanaṅkumārassa
sanankumārakathā	sanaṅkumārakathā
sanankumārasutta	sanaṅkumārasutta
sandhisamalasankaṭīrā	sandhisamalasaṅkaṭīrā
sandhisamalasankaṭīre	sandhisamalasaṅkaṭīre
sabbangakalyāṇi	sabbaṅgakalyāṇi
sabbangapaccangaṃ	sabbaṅgapaccaṅgaṃ
sabbangapaccangī	sabbaṅgapaccaṅgī
sabbangapaccangiṃ	sabbaṅgapaccaṅgiṃ
sabbangasampannaṃ	sabbaṅgasampannaṃ
sabbasankhārā	sabbasaṅkhārā
sabbasankhāre	sabbasaṅkhāre
sabbasankhāresu	sabbasaṅkhāresu
sabbasankhārasamatho	sabbasaṅkhārasamatho
sabbasankhārasamathā	sabbasaṅkhārasamathā
sabbasankhārasamathaṃ	sabbasaṅkhārasamathaṃ
sabbasankhārasamathe	sabbasaṅkhārasamathe
sabbasankhārasamathāya	sabbasaṅkhārasamathāya
sabbasangātigataṃ	sabbasaṅgātigataṃ
sabbasangātigate	sabbasaṅgātigate
sabbasangāhapadakataṃ	sabbasaṅgāhapadakataṃ
sabbavankadosanihitaninnītakasāvo	sabbavaṅkadosanihitaninnītakasāvo
samangikatvā	samaṅgikatvā
samangibhūto	samaṅgibhūto
samangibhūtā	samaṅgibhūtā
samangī	samaṅgī
samangīkatvā	samaṅgīkatvā
samangībhūto	samaṅgībhūto
samangībhūtā	samaṅgībhūtā
samangībhūtaṃ	samaṅgībhūtaṃ
samangībhūte	samaṅgībhūte
samangībhūtassa	samaṅgībhūtassa
samangībhūtānaṃ	samaṅgībhūtānaṃ
samaṇangāni	samaṇaṅgāni
samaṇasanghassa	samaṇasaṅghassa
samathangatāni	samathaṅgatāni
samathapubbangamaṃ	samathapubbaṅgamaṃ
samalankatā	samalaṅkatā
samalankaritvā	samalaṅkaritvā
samādhisambojjhango	samādhisambojjhaṅgo
samādhisambojjhangaṃ	samādhisambojjhaṅgaṃ
samādhisambojjhangassa	samādhisambojjhaṅgassa
samuddangamā	samuddaṅgamā
sambādhasankhātataro	sambādhasaṅkhātataro
sambojjhangā	sambojjhaṅgā
sambojjhange	sambojjhaṅge
sambojjhangesu	sambojjhaṅgesu
sambodhiyangesu	sambodhiyaṅgesu
sammāsankappa	sammāsaṅkappa
sammāsankappo	sammāsaṅkappo
sammāsankappā	sammāsaṅkappā
sammāsankappaṃ	sammāsaṅkappaṃ
sammāsankappe	sammāsaṅkappe
sammāsankappena	sammāsaṅkappena
sammāsankappassa	sammāsaṅkappassa
sayankato	sayaṅkato
sayankatā	sayaṅkatā
sayankataṃ	sayaṅkataṃ
sayankatāni	sayaṅkatāni
sarabhango	sarabhaṅgo
sarabhangattheragāthā	sarabhaṅgattheragāthā
sarasankappā	sarasaṅkappā
sarasankappānaṃ	sarasaṅkappānaṃ
salinge	saliṅge
sasankhārā	sasaṅkhārā
sasankhāraṃ	sasaṅkhāraṃ
sasankhāraniggayhavāritagato	sasaṅkhāraniggayhavāritagato
sasankhāraniggayhavāritagataṃ	sasaṅkhāraniggayhavāritagataṃ
sasankhāraparinibbāyī	sasaṅkhāraparinibbāyī
sasankhāraparinibbāyissa	sasaṅkhāraparinibbāyissa
sasankhārasutta	sasaṅkhārasutta
sasāvakasanghe	sasāvakasaṅghe
savankā	savaṅkā
savankattā	savaṅkattā
sahassabhikkhunisangho	sahassabhikkhunisaṅgho
sahassabhikkhunisanghasutta	sahassabhikkhunisaṅghasutta
saḷāyatanavibhangā	saḷāyatanavibhaṅgā
saḷāyatanavibhangaṃ	saḷāyatanavibhaṅgaṃ
saḷāyatanavibhangassa	saḷāyatanavibhaṅgassa
saḷāyatanavibhangasutta	saḷāyatanavibhaṅgasutta
saḷāyatanavibhangasuttaṃ	saḷāyatanavibhaṅgasuttaṃ
saṃsannasankappamano	saṃsannasaṅkappamano
sākhābhangaṃ	sākhābhaṅgaṃ
sākhābhangena	sākhābhaṅgena
sāngaṇo	sāṅgaṇo
sāngaṇānaṃ	sāṅgaṇānaṃ
sāmaññangaṃ	sāmaññaṅgaṃ
sāmaññasankhātā	sāmaññasaṅkhātā
sāsankaṃ	sāsaṅkaṃ
sāsanke	sāsaṅke
sāsankasammato	sāsaṅkasammato
sāsankasammataṃ	sāsaṅkasammataṃ
sāsankasammatāni	sāsaṅkasammatāni
sāsankasammate	sāsaṅkasammate
sāsankasikkhāpada	sāsaṅkasikkhāpada
sāsankasikkhāpadaṃ	sāsaṅkasikkhāpadaṃ
sāvakasangho	sāvakasaṅgho
sāvajjasankhātā	sāvajjasaṅkhātā
singa	siṅga
singā	siṅgā
singāla	siṅgāla
singāle	siṅgāle
singālo	siṅgālo
singālā	siṅgālā
singālaṃ	siṅgālaṃ
singālehi	siṅgālehi
singālānaṃ	siṅgālānaṃ
singālaka	siṅgālaka
singālako	siṅgālako
singālakā	siṅgālakā
singālakaṃ	siṅgālakaṃ
singālakamātā	siṅgālakamātā
singālakamāta	siṅgālakamāta
singālapituttheragāthā	siṅgālapituttheragāthā
singālasutta	siṅgālasutta
singālasuttaṃ	siṅgālasuttaṃ
singiyo	siṅgiyo
singiveraṃ	siṅgiveraṃ
singī	siṅgī
singi	siṅgi
singinā	siṅginā
singīhi	siṅgīhi
singīnikkha	siṅgīnikkha
singīnikkhassa	siṅgīnikkhassa
singīnikkhasatassa	siṅgīnikkhasatassa
singīvaṇṇaṃ	siṅgīvaṇṇaṃ
singhāmi	siṅghāmi
singhāṭaka	siṅghāṭaka
singhāṭakaṃ	siṅghāṭakaṃ
singhāṭake	siṅghāṭake
singhāṭakena	siṅghāṭakena
singhāṭakesu	siṅghāṭakesu
singhāṭako	siṅghāṭako
singhāṇikā	siṅghāṇikā
singhāṇikāya	siṅghāṇikāya
singhānikā	siṅghānikā
sīlapārisuddhipadhāniyangaṃ	sīlapārisuddhipadhāniyaṅgaṃ
sīlapārisuddhipadhāniyangena	sīlapārisuddhipadhāniyaṅgena
sukkasankhātā	sukkasaṅkhātā
sugatangulena	sugataṅgulena
sunko	suṅko
sunkaṃ	suṅkaṃ
sunkena	suṅkena
sunkaghātaṃ	suṅkaghātaṃ
sunkaṭṭhānaṃ	suṅkaṭṭhānaṃ
sunkadāyakaṃ	suṅkadāyakaṃ
suttantasankhepā	suttantasaṅkhepā
suddhasankhārapuñjo	suddhasaṅkhārapuñjo
subhaddādeviupasankamana	subhaddādeviupasaṅkamana
sumangala	sumaṅgala
sumangalo	sumaṅgalo
sumangalā	sumaṅgalā
sumangalaṃ	sumaṅgalaṃ
sumangalattheragāthā	sumaṅgalattheragāthā
sumangalamātātherīgāthā	sumaṅgalamātātherīgāthā
susankhatā	susaṅkhatā
susankhataṃ	susaṅkhataṃ
susankhatehi	susaṅkhatehi
susangahita	susaṅgahita
susangahito	susaṅgahito
susangahitā	susaṅgahitā
susangahitaṃ	susaṅgahitaṃ
susangahitāni	susaṅgahitāni
susangahitattā	susaṅgahitattā
susangahitaparijano	susaṅgahitaparijano
susamāhitasankappā	susamāhitasaṅkappā
suvaṇṇabhinkāraṃ	suvaṇṇabhiṅkāraṃ
seṭṭhasankappo	seṭṭhasaṅkappo
setālankārā	setālaṅkārā
sevitabbasankhātā	sevitabbasaṅkhātā
soṇasingālā	soṇasiṅgālā
sotāpattiyangaṃ	sotāpattiyaṅgaṃ
sotāpattiyangāni	sotāpattiyaṅgāni
sotāpattiyangehi	sotāpattiyaṅgehi
sotāpattiyangāna	sotāpattiyaṅgāna
sotāpattiyangesu	sotāpattiyaṅgesu
sovaṇṇālankārāni	sovaṇṇālaṅkārāni
soḷasangulakaṇṭakaṃ	soḷasaṅgulakaṇṭakaṃ
vanka	vaṅka
vankā	vaṅkā
vankaṃ	vaṅkaṃ
vankakaṃ	vaṅkakaṃ
vankakena	vaṅkakena
vankako	vaṅkako
vankaghasto	vaṅkaghasto
vankanguliṃ	vaṅkaṅguliṃ
vankadaṇḍā	vaṅkadaṇḍā
vankeyyāni	vaṅkeyyāni
vangānaṃ	vaṅgānaṃ
vangantaputto	vaṅgantaputto
vangantaputtaṃ	vaṅgantaputtaṃ
vangantaputtassa	vaṅgantaputtassa
vangantaputtaupasenattheragāthā	vaṅgantaputtaupasenattheragāthā
vangiso	vaṅgiso
vangīsa	vaṅgīsa
vangīso	vaṅgīso
vangīsā	vaṅgīsā
vangīsena	vaṅgīsena
vangīsassa	vaṅgīsassa
vangīsattheragāthā	vaṅgīsattheragāthā
vangīsasaṃyuttaṃ	vaṅgīsasaṃyuttaṃ
vangīsasutta	vaṅgīsasutta
vacīduccaritasamangī	vacīduccaritasamaṅgī
vacīsankhāro	vacīsaṅkhāro
vacīsankhārā	vacīsaṅkhārā
vacīsankhāraṃ	vacīsaṅkhāraṃ
vacīsankhārānaṃ	vacīsaṅkhārānaṃ
vacīsucaritasamangī	vacīsucaritasamaṅgī
vacīvanko	vacīvaṅko
vacīvankaṃ	vacīvaṅkaṃ
vacīvankānaṃ	vacīvaṅkānaṃ
vanabhangena	vanabhaṅgena
vasangato	vasaṅgato
vasangatā	vasaṅgatā
vādasanghāṭena	vādasaṅghāṭena
vāḷamigasanghasevitaṃ	vāḷamigasaṅghasevitaṃ
vigatakathankatho	vigatakathaṅkatho
vigatakathankathā	vigatakathaṅkathā
vigatakathankathaṃ	vigatakathaṅkathaṃ
vicikicchākathankathāsallaṃ	vicikicchākathaṅkathāsallaṃ
vicikicchākathankathāsallassa	vicikicchākathaṅkathāsallassa
vijitasangāma	vijitasaṅgāma
vijitasangāmo	vijitasaṅgāmo
vijitasangāmā	vijitasaṅgāmā
vijitasangāmaṃ	vijitasaṅgāmaṃ
vijitasangāmassa	vijitasaṅgāmassa
viññāṇasankhayavimutto	viññāṇasaṅkhayavimutto
viññāṇasankhāyavimutto	viññāṇasaṅkhāyavimutto
vitakkasankhārasaṇṭhānaṃ	vitakkasaṅkhārasaṇṭhānaṃ
vitiṇṇakankho	vitiṇṇakaṅkho
vipassanāpubbangamaṃ	vipassanāpubbaṅgamaṃ
vibhanga	vibhaṅga
vibhango	vibhaṅgo
vibhangā	vibhaṅgā
vibhangaṃ	vibhaṅgaṃ
vibhange	vibhaṅge
vibhangena	vibhaṅgena
vibhangako	vibhaṅgako
vibhangasutta	vibhaṅgasutta
vibhangavaggo	vibhaṅgavaggo
vimuttipārisuddhipadhāniyangaṃ	vimuttipārisuddhipadhāniyaṅgaṃ
visanketena	visaṅketena
visankhataṃ	visaṅkhataṃ
visankhāragataṃ	visaṅkhāragataṃ
vihangamo	vihaṅgamo
vihangamā	vihaṅgamā
vihangame	vihaṅgame
vihiṃsāsankappo	vihiṃsāsaṅkappo
vītangārā	vītaṅgārā
vītaccitangāraṃ	vītaccitaṅgāraṃ
vīmaṃsasamādhipadhānasankhārasamannāgataṃ	vīmaṃsasamādhipadhānasaṅkhārasamannāgataṃ
vīmaṃsāsamādhipadhānasankhārasamannāgataṃ	vīmaṃsāsamādhipadhānasaṅkhārasamannāgataṃ
vīmaṃsāsamādhippadhānasankhārasamannāgato	vīmaṃsāsamādhippadhānasaṅkhārasamannāgato
vīmaṃsāsamādhippadhānasankhārasamannāgataṃ	vīmaṃsāsamādhippadhānasaṅkhārasamannāgataṃ
vīrangarūpā	vīraṅgarūpā
vīriyasamādhipadhānasankhārasamannāgataṃ	vīriyasamādhipadhānasaṅkhārasamannāgataṃ
vīriyasamādhippadhānasankhārasamannāgato	vīriyasamādhippadhānasaṅkhārasamannāgato
vīriyasamādhippadhānasankhārasamannāgataṃ	vīriyasamādhippadhānasaṅkhārasamannāgataṃ
vīriyasambojjhango	vīriyasambojjhaṅgo
vīriyasambojjhangaṃ	vīriyasambojjhaṅgaṃ
vīriyasambojjhangassa	vīriyasambojjhaṅgassa
vekaḷinge	vekaḷiṅge
vegaḷingaṃ	vegaḷiṅgaṃ
vegaḷinge	vegaḷiṅge
vedanāsankhayavimutto	vedanāsaṅkhayavimutto
vedanāsankhāyavimutto	vedanāsaṅkhāyavimutto
vehāsangamo	vehāsaṅgamo
hatthavilanghakena	hatthavilaṅghakena
hadayangamā	hadayaṅgamā
hadayangamaṃ	hadayaṅgamaṃ
hingo	hiṅgo
hingu	hiṅgu
hinguṃ	hiṅguṃ
hingū	hiṅgū
huṃhunkasutta	huṃhuṅkasutta
hetubhangā	hetubhaṅgā
