n	ṅ
apaduṭṭhamanasankappo	apaduṭṭhamanasaṅkappo
sanghabhedakakkhandhako	saṅghabhedakakkhandhako
sanghabhedakakkhandhaka	saṅghabhedakakkhandhaka
diṭṭhasutaparisankitaṃ	diṭṭhasutaparisaṅkitaṃ
accharāsanghātamattampi	accharāsaṅghātamattampi
pañcangasamannāgatanti	pañcaṅgasamannāgatanti
sanghāṭikaṇṇaggahaṇampi	saṅghāṭikaṇṇaggahaṇampi
tadangadiṭṭhadhammikena	tadaṅgadiṭṭhadhammikena
suddhasankhārapuñjoyaṃ	suddhasaṅkhārapuñjoyaṃ
bojjhangasamādhibhāvanā	bojjhaṅgasamādhibhāvanā
sanghādisesāpattipucchā	saṅghādisesāpattipucchā
passaddhisambojjhangoti	passaddhisambojjhaṅgoti
sanghādisesāpattikkhandho	saṅghādisesāpattikkhandho
sanghāṭipattacīvaradharo	saṅghāṭipattacīvaradharo
sanghabhedakupajjhāyena	saṅghabhedakupajjhāyena
gaṇācariyasāvakasanghāti	gaṇācariyasāvakasaṅghāti
kankhāvitaraṇavisuddhiñce	kaṅkhāvitaraṇavisuddhiñce
angulipabbatemanamattampi	aṅgulipabbatemanamattampi
dakkhiṇāvibhangasuttanti	dakkhiṇāvibhaṅgasuttanti
papañcasaññāsankhāpahānaṃ	papañcasaññāsaṅkhāpahānaṃ
sanghādisesāpattikkhandhena	saṅghādisesāpattikkhandhena
sankhapaṇavadindimasaddampi	saṅkhapaṇavadindimasaddampi
